shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
broad_ai-2022-01-artificial-intelligence,2022,01,broad_ai,artificial intelligence,artificial-intelligence,1640995200,1643673600,2022-01-01,2022-02-01
broad_ai-2022-01-machine-learning,2022,01,broad_ai,machine learning,machine-learning,1640995200,1643673600,2022-01-01,2022-02-01
broad_ai-2022-01-deep-learning,2022,01,broad_ai,deep learning,deep-learning,1640995200,1643673600,2022-01-01,2022-02-01
broad_ai-2022-01-neural-network,2022,01,broad_ai,neural network,neural-network,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-gpt,2022,01,foundation_models,gpt,gpt,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-llm,2022,01,foundation_models,llm,llm,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-chatgpt,2022,01,foundation_models,chatgpt,chatgpt,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-openai,2022,01,foundation_models,openai,openai,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-claude,2022,01,foundation_models,claude,claude,1640995200,1643673600,2022-01-01,2022-02-01
foundation_models-2022-01-gemini,2022,01,foundation_models,gemini,gemini,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-ai-safety,2022,01,doomer,ai safety,ai-safety,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-alignment,2022,01,doomer,alignment,alignment,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-misalignment,2022,01,doomer,misalignment,misalignment,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-existential-risk,2022,01,doomer,existential risk,existential-risk,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-x-risk,2022,01,doomer,x-risk,x-risk,1640995200,1643673600,2022-01-01,2022-02-01
doomer-2022-01-p-doom,2022,01,doomer,p(doom),p-doom,1640995200,1643673600,2022-01-01,2022-02-01
accelerationist-2022-01-e-acc,2022,01,accelerationist,e/acc,e-acc,1640995200,1643673600,2022-01-01,2022-02-01
