shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
broad_ai-2020-01-artificial-intelligence,2020,01,broad_ai,artificial intelligence,artificial-intelligence,1577836800,1580515200,2020-01-01,2020-02-01
broad_ai-2020-01-machine-learning,2020,01,broad_ai,machine learning,machine-learning,1577836800,1580515200,2020-01-01,2020-02-01
broad_ai-2020-01-deep-learning,2020,01,broad_ai,deep learning,deep-learning,1577836800,1580515200,2020-01-01,2020-02-01
broad_ai-2020-01-neural-network,2020,01,broad_ai,neural network,neural-network,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-gpt,2020,01,foundation_models,gpt,gpt,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-llm,2020,01,foundation_models,llm,llm,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-chatgpt,2020,01,foundation_models,chatgpt,chatgpt,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-openai,2020,01,foundation_models,openai,openai,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-claude,2020,01,foundation_models,claude,claude,1577836800,1580515200,2020-01-01,2020-02-01
foundation_models-2020-01-gemini,2020,01,foundation_models,gemini,gemini,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-ai-safety,2020,01,doomer,ai safety,ai-safety,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-alignment,2020,01,doomer,alignment,alignment,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-misalignment,2020,01,doomer,misalignment,misalignment,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-existential-risk,2020,01,doomer,existential risk,existential-risk,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-x-risk,2020,01,doomer,x-risk,x-risk,1577836800,1580515200,2020-01-01,2020-02-01
doomer-2020-01-p-doom,2020,01,doomer,p(doom),p-doom,1577836800,1580515200,2020-01-01,2020-02-01
accelerationist-2020-01-e-acc,2020,01,accelerationist,e/acc,e-acc,1577836800,1580515200,2020-01-01,2020-02-01
accelerationist-2020-01-accelerationism,2020,01,accelerationist,accelerationism,accelerationism,1577836800,1580515200,2020-01-01,2020-02-01
accelerationist-2020-01-techno-optimism,2020,01,accelerationist,techno-optimism,techno-optimism,1577836800,1580515200,2020-01-01,2020-02-01
accelerationist-2020-01-abundance-agenda,2020,01,accelerationist,abundance agenda,abundance-agenda,1577836800,1580515200,2020-01-01,2020-02-01
accelerationist-2020-01-abundance,2020,01,accelerationist,abundance,abundance,1577836800,1580515200,2020-01-01,2020-02-01
broad_ai-2020-02-artificial-intelligence,2020,02,broad_ai,artificial intelligence,artificial-intelligence,1580515200,1583020800,2020-02-01,2020-03-01
broad_ai-2020-02-machine-learning,2020,02,broad_ai,machine learning,machine-learning,1580515200,1583020800,2020-02-01,2020-03-01
broad_ai-2020-02-deep-learning,2020,02,broad_ai,deep learning,deep-learning,1580515200,1583020800,2020-02-01,2020-03-01
broad_ai-2020-02-neural-network,2020,02,broad_ai,neural network,neural-network,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-gpt,2020,02,foundation_models,gpt,gpt,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-llm,2020,02,foundation_models,llm,llm,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-chatgpt,2020,02,foundation_models,chatgpt,chatgpt,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-openai,2020,02,foundation_models,openai,openai,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-claude,2020,02,foundation_models,claude,claude,1580515200,1583020800,2020-02-01,2020-03-01
foundation_models-2020-02-gemini,2020,02,foundation_models,gemini,gemini,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-ai-safety,2020,02,doomer,ai safety,ai-safety,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-alignment,2020,02,doomer,alignment,alignment,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-misalignment,2020,02,doomer,misalignment,misalignment,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-existential-risk,2020,02,doomer,existential risk,existential-risk,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-x-risk,2020,02,doomer,x-risk,x-risk,1580515200,1583020800,2020-02-01,2020-03-01
doomer-2020-02-p-doom,2020,02,doomer,p(doom),p-doom,1580515200,1583020800,2020-02-01,2020-03-01
accelerationist-2020-02-e-acc,2020,02,accelerationist,e/acc,e-acc,1580515200,1583020800,2020-02-01,2020-03-01
accelerationist-2020-02-accelerationism,2020,02,accelerationist,accelerationism,accelerationism,1580515200,1583020800,2020-02-01,2020-03-01
accelerationist-2020-02-techno-optimism,2020,02,accelerationist,techno-optimism,techno-optimism,1580515200,1583020800,2020-02-01,2020-03-01
accelerationist-2020-02-abundance-agenda,2020,02,accelerationist,abundance agenda,abundance-agenda,1580515200,1583020800,2020-02-01,2020-03-01
accelerationist-2020-02-abundance,2020,02,accelerationist,abundance,abundance,1580515200,1583020800,2020-02-01,2020-03-01
broad_ai-2020-03-artificial-intelligence,2020,03,broad_ai,artificial intelligence,artificial-intelligence,1583020800,1585699200,2020-03-01,2020-04-01
broad_ai-2020-03-machine-learning,2020,03,broad_ai,machine learning,machine-learning,1583020800,1585699200,2020-03-01,2020-04-01
broad_ai-2020-03-deep-learning,2020,03,broad_ai,deep learning,deep-learning,1583020800,1585699200,2020-03-01,2020-04-01
broad_ai-2020-03-neural-network,2020,03,broad_ai,neural network,neural-network,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-gpt,2020,03,foundation_models,gpt,gpt,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-llm,2020,03,foundation_models,llm,llm,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-chatgpt,2020,03,foundation_models,chatgpt,chatgpt,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-openai,2020,03,foundation_models,openai,openai,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-claude,2020,03,foundation_models,claude,claude,1583020800,1585699200,2020-03-01,2020-04-01
foundation_models-2020-03-gemini,2020,03,foundation_models,gemini,gemini,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-ai-safety,2020,03,doomer,ai safety,ai-safety,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-alignment,2020,03,doomer,alignment,alignment,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-misalignment,2020,03,doomer,misalignment,misalignment,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-existential-risk,2020,03,doomer,existential risk,existential-risk,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-x-risk,2020,03,doomer,x-risk,x-risk,1583020800,1585699200,2020-03-01,2020-04-01
doomer-2020-03-p-doom,2020,03,doomer,p(doom),p-doom,1583020800,1585699200,2020-03-01,2020-04-01
accelerationist-2020-03-e-acc,2020,03,accelerationist,e/acc,e-acc,1583020800,1585699200,2020-03-01,2020-04-01
accelerationist-2020-03-accelerationism,2020,03,accelerationist,accelerationism,accelerationism,1583020800,1585699200,2020-03-01,2020-04-01
accelerationist-2020-03-techno-optimism,2020,03,accelerationist,techno-optimism,techno-optimism,1583020800,1585699200,2020-03-01,2020-04-01
accelerationist-2020-03-abundance-agenda,2020,03,accelerationist,abundance agenda,abundance-agenda,1583020800,1585699200,2020-03-01,2020-04-01
accelerationist-2020-03-abundance,2020,03,accelerationist,abundance,abundance,1583020800,1585699200,2020-03-01,2020-04-01
broad_ai-2020-04-artificial-intelligence,2020,04,broad_ai,artificial intelligence,artificial-intelligence,1585699200,1588291200,2020-04-01,2020-05-01
