shard_id,year,month,family,query,query_slug,start_ts,end_ts,start_date,end_date
broad_ai-2015-03-neural-network,2015,03,broad_ai,neural network,neural-network,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-gpt,2015,03,foundation_models,gpt,gpt,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-llm,2015,03,foundation_models,llm,llm,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-chatgpt,2015,03,foundation_models,chatgpt,chatgpt,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-openai,2015,03,foundation_models,openai,openai,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-claude,2015,03,foundation_models,claude,claude,1425168000,1427846400,2015-03-01,2015-04-01
foundation_models-2015-03-gemini,2015,03,foundation_models,gemini,gemini,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-ai-safety,2015,03,doomer,ai safety,ai-safety,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-alignment,2015,03,doomer,alignment,alignment,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-misalignment,2015,03,doomer,misalignment,misalignment,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-existential-risk,2015,03,doomer,existential risk,existential-risk,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-x-risk,2015,03,doomer,x-risk,x-risk,1425168000,1427846400,2015-03-01,2015-04-01
doomer-2015-03-p-doom,2015,03,doomer,p(doom),p-doom,1425168000,1427846400,2015-03-01,2015-04-01
accelerationist-2015-03-e-acc,2015,03,accelerationist,e/acc,e-acc,1425168000,1427846400,2015-03-01,2015-04-01
accelerationist-2015-03-accelerationism,2015,03,accelerationist,accelerationism,accelerationism,1425168000,1427846400,2015-03-01,2015-04-01
accelerationist-2015-03-techno-optimism,2015,03,accelerationist,techno-optimism,techno-optimism,1425168000,1427846400,2015-03-01,2015-04-01
accelerationist-2015-03-abundance-agenda,2015,03,accelerationist,abundance agenda,abundance-agenda,1425168000,1427846400,2015-03-01,2015-04-01
accelerationist-2015-03-abundance,2015,03,accelerationist,abundance,abundance,1425168000,1427846400,2015-03-01,2015-04-01
broad_ai-2015-04-artificial-intelligence,2015,04,broad_ai,artificial intelligence,artificial-intelligence,1427846400,1430438400,2015-04-01,2015-05-01
broad_ai-2015-04-machine-learning,2015,04,broad_ai,machine learning,machine-learning,1427846400,1430438400,2015-04-01,2015-05-01
broad_ai-2015-04-deep-learning,2015,04,broad_ai,deep learning,deep-learning,1427846400,1430438400,2015-04-01,2015-05-01
broad_ai-2015-04-neural-network,2015,04,broad_ai,neural network,neural-network,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-gpt,2015,04,foundation_models,gpt,gpt,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-llm,2015,04,foundation_models,llm,llm,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-chatgpt,2015,04,foundation_models,chatgpt,chatgpt,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-openai,2015,04,foundation_models,openai,openai,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-claude,2015,04,foundation_models,claude,claude,1427846400,1430438400,2015-04-01,2015-05-01
foundation_models-2015-04-gemini,2015,04,foundation_models,gemini,gemini,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-ai-safety,2015,04,doomer,ai safety,ai-safety,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-alignment,2015,04,doomer,alignment,alignment,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-misalignment,2015,04,doomer,misalignment,misalignment,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-existential-risk,2015,04,doomer,existential risk,existential-risk,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-x-risk,2015,04,doomer,x-risk,x-risk,1427846400,1430438400,2015-04-01,2015-05-01
doomer-2015-04-p-doom,2015,04,doomer,p(doom),p-doom,1427846400,1430438400,2015-04-01,2015-05-01
accelerationist-2015-04-e-acc,2015,04,accelerationist,e/acc,e-acc,1427846400,1430438400,2015-04-01,2015-05-01
accelerationist-2015-04-accelerationism,2015,04,accelerationist,accelerationism,accelerationism,1427846400,1430438400,2015-04-01,2015-05-01
accelerationist-2015-04-techno-optimism,2015,04,accelerationist,techno-optimism,techno-optimism,1427846400,1430438400,2015-04-01,2015-05-01
accelerationist-2015-04-abundance-agenda,2015,04,accelerationist,abundance agenda,abundance-agenda,1427846400,1430438400,2015-04-01,2015-05-01
accelerationist-2015-04-abundance,2015,04,accelerationist,abundance,abundance,1427846400,1430438400,2015-04-01,2015-05-01
broad_ai-2015-05-artificial-intelligence,2015,05,broad_ai,artificial intelligence,artificial-intelligence,1430438400,1433116800,2015-05-01,2015-06-01
broad_ai-2015-05-machine-learning,2015,05,broad_ai,machine learning,machine-learning,1430438400,1433116800,2015-05-01,2015-06-01
broad_ai-2015-05-deep-learning,2015,05,broad_ai,deep learning,deep-learning,1430438400,1433116800,2015-05-01,2015-06-01
broad_ai-2015-05-neural-network,2015,05,broad_ai,neural network,neural-network,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-gpt,2015,05,foundation_models,gpt,gpt,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-llm,2015,05,foundation_models,llm,llm,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-chatgpt,2015,05,foundation_models,chatgpt,chatgpt,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-openai,2015,05,foundation_models,openai,openai,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-claude,2015,05,foundation_models,claude,claude,1430438400,1433116800,2015-05-01,2015-06-01
foundation_models-2015-05-gemini,2015,05,foundation_models,gemini,gemini,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-ai-safety,2015,05,doomer,ai safety,ai-safety,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-alignment,2015,05,doomer,alignment,alignment,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-misalignment,2015,05,doomer,misalignment,misalignment,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-existential-risk,2015,05,doomer,existential risk,existential-risk,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-x-risk,2015,05,doomer,x-risk,x-risk,1430438400,1433116800,2015-05-01,2015-06-01
doomer-2015-05-p-doom,2015,05,doomer,p(doom),p-doom,1430438400,1433116800,2015-05-01,2015-06-01
accelerationist-2015-05-e-acc,2015,05,accelerationist,e/acc,e-acc,1430438400,1433116800,2015-05-01,2015-06-01
accelerationist-2015-05-accelerationism,2015,05,accelerationist,accelerationism,accelerationism,1430438400,1433116800,2015-05-01,2015-06-01
accelerationist-2015-05-techno-optimism,2015,05,accelerationist,techno-optimism,techno-optimism,1430438400,1433116800,2015-05-01,2015-06-01
accelerationist-2015-05-abundance-agenda,2015,05,accelerationist,abundance agenda,abundance-agenda,1430438400,1433116800,2015-05-01,2015-06-01
accelerationist-2015-05-abundance,2015,05,accelerationist,abundance,abundance,1430438400,1433116800,2015-05-01,2015-06-01
broad_ai-2015-06-artificial-intelligence,2015,06,broad_ai,artificial intelligence,artificial-intelligence,1433116800,1435708800,2015-06-01,2015-07-01
broad_ai-2015-06-machine-learning,2015,06,broad_ai,machine learning,machine-learning,1433116800,1435708800,2015-06-01,2015-07-01
broad_ai-2015-06-deep-learning,2015,06,broad_ai,deep learning,deep-learning,1433116800,1435708800,2015-06-01,2015-07-01
broad_ai-2015-06-neural-network,2015,06,broad_ai,neural network,neural-network,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-gpt,2015,06,foundation_models,gpt,gpt,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-llm,2015,06,foundation_models,llm,llm,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-chatgpt,2015,06,foundation_models,chatgpt,chatgpt,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-openai,2015,06,foundation_models,openai,openai,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-claude,2015,06,foundation_models,claude,claude,1433116800,1435708800,2015-06-01,2015-07-01
foundation_models-2015-06-gemini,2015,06,foundation_models,gemini,gemini,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-ai-safety,2015,06,doomer,ai safety,ai-safety,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-alignment,2015,06,doomer,alignment,alignment,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-misalignment,2015,06,doomer,misalignment,misalignment,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-existential-risk,2015,06,doomer,existential risk,existential-risk,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-x-risk,2015,06,doomer,x-risk,x-risk,1433116800,1435708800,2015-06-01,2015-07-01
doomer-2015-06-p-doom,2015,06,doomer,p(doom),p-doom,1433116800,1435708800,2015-06-01,2015-07-01
accelerationist-2015-06-e-acc,2015,06,accelerationist,e/acc,e-acc,1433116800,1435708800,2015-06-01,2015-07-01
accelerationist-2015-06-accelerationism,2015,06,accelerationist,accelerationism,accelerationism,1433116800,1435708800,2015-06-01,2015-07-01
accelerationist-2015-06-techno-optimism,2015,06,accelerationist,techno-optimism,techno-optimism,1433116800,1435708800,2015-06-01,2015-07-01
accelerationist-2015-06-abundance-agenda,2015,06,accelerationist,abundance agenda,abundance-agenda,1433116800,1435708800,2015-06-01,2015-07-01
accelerationist-2015-06-abundance,2015,06,accelerationist,abundance,abundance,1433116800,1435708800,2015-06-01,2015-07-01
broad_ai-2015-07-artificial-intelligence,2015,07,broad_ai,artificial intelligence,artificial-intelligence,1435708800,1438387200,2015-07-01,2015-08-01
broad_ai-2015-07-machine-learning,2015,07,broad_ai,machine learning,machine-learning,1435708800,1438387200,2015-07-01,2015-08-01
